Task: 1, Test Name: price150to500Checkbox is displayed, DOM Id: price__$150-$500, Browser: chrome, Viewport: 768x700, Device: Tablet, Status: Fail
Task: 1, Test Name: quickLinksHeader is displayed, DOM Id: H3____421, Browser: chrome, Viewport: 500x700, Device: Mobile, Status: Pass
Task: 1, Test Name: filterButton is displayed, DOM Id: filterBtn, Browser: chrome, Viewport: 768x700, Device: Tablet, Status: Fail
Task: 1, Test Name: aboutUsQuickLink is displayed, DOM Id: A____425, Browser: chrome, Viewport: 500x700, Device: Mobile, Status: Fail
Task: 1, Test Name: resetButton is displayed, DOM Id: resetBtn, Browser: chrome, Viewport: 768x700, Device: Tablet, Status: Fail
Task: 1, Test Name: resetButton is displayed, DOM Id: resetBtn, Browser: chrome, Viewport: 1200x700, Device: Laptop, Status: Pass
Task: 1, Test Name: faqQuickLink is displayed, DOM Id: A____427, Browser: chrome, Viewport: 500x700, Device: Mobile, Status: Fail
Task: 1, Test Name: footer is displayed, DOM Id: FOOTER____417, Browser: chrome, Viewport: 768x700, Device: Tablet, Status: Pass
Task: 1, Test Name: footer is displayed, DOM Id: FOOTER____417, Browser: chrome, Viewport: 1200x700, Device: Laptop, Status: Pass
Task: 1, Test Name: quickLinksHeader is displayed, DOM Id: H3____421, Browser: chrome, Viewport: 1200x700, Device: Laptop, Status: Pass
Task: 1, Test Name: helpQuickLink is displayed, DOM Id: A____429, Browser: chrome, Viewport: 500x700, Device: Mobile, Status: Fail
Task: 1, Test Name: aboutUsQuickLink is displayed, DOM Id: A____425, Browser: chrome, Viewport: 1200x700, Device: Laptop, Status: Pass
Task: 1, Test Name: quickLinksHeader is displayed, DOM Id: H3____421, Browser: chrome, Viewport: 768x700, Device: Tablet, Status: Pass
Task: 1, Test Name: myAccountQuickLink is displayed, DOM Id: A____431, Browser: chrome, Viewport: 500x700, Device: Mobile, Status: Fail
Task: 1, Test Name: faqQuickLink is displayed, DOM Id: A____427, Browser: chrome, Viewport: 1200x700, Device: Laptop, Status: Pass
Task: 1, Test Name: aboutUsQuickLink is displayed, DOM Id: A____425, Browser: chrome, Viewport: 768x700, Device: Tablet, Status: Fail
Task: 1, Test Name: helpQuickLink is displayed, DOM Id: A____429, Browser: chrome, Viewport: 1200x700, Device: Laptop, Status: Pass
Task: 1, Test Name: blogQuickLink is displayed, DOM Id: A____433, Browser: chrome, Viewport: 500x700, Device: Mobile, Status: Fail
Task: 1, Test Name: faqQuickLink is displayed, DOM Id: A____427, Browser: chrome, Viewport: 768x700, Device: Tablet, Status: Fail
Task: 1, Test Name: contactsQuickLink is displayed, DOM Id: A____435, Browser: chrome, Viewport: 500x700, Device: Mobile, Status: Fail
Task: 1, Test Name: helpQuickLink is displayed, DOM Id: A____429, Browser: chrome, Viewport: 768x700, Device: Tablet, Status: Fail
Task: 1, Test Name: myAccountQuickLink is displayed, DOM Id: A____431, Browser: chrome, Viewport: 768x700, Device: Tablet, Status: Fail
Task: 1, Test Name: myAccountQuickLink is displayed, DOM Id: A____431, Browser: chrome, Viewport: 1200x700, Device: Laptop, Status: Pass
Task: 1, Test Name: blogQuickLink is displayed, DOM Id: A____433, Browser: chrome, Viewport: 1200x700, Device: Laptop, Status: Pass
Task: 1, Test Name: blogQuickLink is displayed, DOM Id: A____433, Browser: chrome, Viewport: 768x700, Device: Tablet, Status: Fail
Task: 1, Test Name: contactsHeader is displayed, DOM Id: H3____437, Browser: chrome, Viewport: 500x700, Device: Mobile, Status: Pass
Task: 1, Test Name: contactsQuickLink is displayed, DOM Id: A____435, Browser: chrome, Viewport: 1200x700, Device: Laptop, Status: Pass
Task: 1, Test Name: contactsHeader is displayed, DOM Id: H3____437, Browser: chrome, Viewport: 1200x700, Device: Laptop, Status: Pass
Task: 1, Test Name: contactAddress is displayed, DOM Id: LI____440, Browser: chrome, Viewport: 1200x700, Device: Laptop, Status: Pass
Task: 1, Test Name: contactAddress is displayed, DOM Id: LI____440, Browser: chrome, Viewport: 500x700, Device: Mobile, Status: Fail
Task: 1, Test Name: contactsQuickLink is displayed, DOM Id: A____435, Browser: chrome, Viewport: 768x700, Device: Tablet, Status: Fail
Task: 1, Test Name: contactEmailAddress is displayed, DOM Id: LI____443, Browser: chrome, Viewport: 1200x700, Device: Laptop, Status: Pass
Task: 1, Test Name: contactEmailAddress is displayed, DOM Id: LI____443, Browser: chrome, Viewport: 500x700, Device: Mobile, Status: Fail
Task: 1, Test Name: contactsHeader is displayed, DOM Id: H3____437, Browser: chrome, Viewport: 768x700, Device: Tablet, Status: Pass
Task: 1, Test Name: keepInTouchHeader is displayed, DOM Id: H3____447, Browser: chrome, Viewport: 1200x700, Device: Laptop, Status: Pass
Task: 1, Test Name: keepInTouchHeader is displayed, DOM Id: H3____447, Browser: chrome, Viewport: 500x700, Device: Mobile, Status: Pass
Task: 1, Test Name: yourEmailField is displayed, DOM Id: email_newsletter, Browser: chrome, Viewport: 1200x700, Device: Laptop, Status: Pass
Task: 1, Test Name: languageSelector is displayed, DOM Id: DIV__styledsele__459, Browser: chrome, Viewport: 1200x700, Device: Laptop, Status: Pass
Task: 1, Test Name: contactAddress is displayed, DOM Id: LI____440, Browser: chrome, Viewport: 768x700, Device: Tablet, Status: Fail
